Constructing ISIC2019LT Dataset with imbalance factor=500
Training with 4 GPUS, waiting until all processes join before starting training
Total # images:13556, labels:13556, number of classes
Total # images:3874, labels:3874, number of classes
Total # images:1939, labels:1939, number of classes
Total # images:13556, labels:13556, number of classes
Total # images:13556, labels:13556, number of classes
Total # images:13556, labels:13556, number of classes

Epoch: [40/100] Iter [  10/  26] || Time: 7807.8215 sec || lr: 0.010000 || Loss: 0.8893
Epoch: [40/100] Iter [  20/  26] || Time: 7856.5306 sec || lr: 0.010000 || Loss: 0.9558
Epoch: [41/100] Iter [   4/  26] || Time: 7959.8178 sec || lr: 0.010000 || Loss: 0.9449
Epoch: [41/100] Iter [  14/  26] || Time: 8013.6489 sec || lr: 0.010000 || Loss: 0.8820
Epoch: [41/100] Iter [  24/  26] || Time: 8059.4961 sec || lr: 0.010000 || Loss: 0.8041
Epoch: [42/100] Iter [   8/  26] || Time: 8172.1133 sec || lr: 0.010000 || Loss: 0.9290
Epoch: [42/100] Iter [  18/  26] || Time: 8221.4333 sec || lr: 0.010000 || Loss: 0.9215
Epoch: [43/100] Iter [   2/  26] || Time: 8325.6698 sec || lr: 0.010000 || Loss: 0.8770
Epoch: [43/100] Iter [  12/  26] || Time: 8384.5277 sec || lr: 0.010000 || Loss: 0.9569
Epoch: [43/100] Iter [  22/  26] || Time: 8431.2022 sec || lr: 0.010000 || Loss: 0.9763
Epoch: [44/100] Iter [   6/  26] || Time: 8541.4697 sec || lr: 0.010000 || Loss: 0.8827
Epoch: [44/100] Iter [  16/  26] || Time: 8590.6443 sec || lr: 0.010000 || Loss: 0.8728
Epoch: [44/100] Iter [  26/  26] || Time: 8650.5426 sec || lr: 0.010000 || Loss: 0.7830
Epoch: [45/100] Iter [  10/  26] || Time: 8744.0539 sec || lr: 0.010000 || Loss: 0.8590
Epoch: [45/100] Iter [  20/  26] || Time: 8791.9856 sec || lr: 0.010000 || Loss: 0.8723
Epoch: [46/100] Iter [   4/  26] || Time: 8900.4869 sec || lr: 0.010000 || Loss: 0.8449
Epoch: [46/100] Iter [  14/  26] || Time: 8955.2643 sec || lr: 0.010000 || Loss: 0.8137
Epoch: [46/100] Iter [  24/  26] || Time: 9002.6435 sec || lr: 0.010000 || Loss: 0.8810
Epoch: [47/100] Iter [   8/  26] || Time: 9108.1916 sec || lr: 0.010000 || Loss: 0.8672
Epoch: [47/100] Iter [  18/  26] || Time: 9156.0991 sec || lr: 0.010000 || Loss: 0.9066
Epoch: [48/100] Iter [   2/  26] || Time: 9261.1391 sec || lr: 0.010000 || Loss: 0.8724
Epoch: [48/100] Iter [  12/  26] || Time: 9320.1614 sec || lr: 0.010000 || Loss: 0.8998
Epoch: [48/100] Iter [  22/  26] || Time: 9366.8816 sec || lr: 0.010000 || Loss: 0.9473
Epoch: [49/100] Iter [   6/  26] || Time: 9472.9394 sec || lr: 0.010000 || Loss: 0.8360
Epoch: [49/100] Iter [  16/  26] || Time: 9523.1638 sec || lr: 0.010000 || Loss: 0.8004
Epoch: [49/100] Iter [  26/  26] || Time: 9587.5786 sec || lr: 0.010000 || Loss: 0.8064
Epoch: [50/100] Iter [  10/  26] || Time: 9683.4465 sec || lr: 0.010000 || Loss: 0.7695
Epoch: [50/100] Iter [  20/  26] || Time: 9731.8056 sec || lr: 0.010000 || Loss: 0.7170
Epoch: [51/100] Iter [   4/  26] || Time: 9840.2603 sec || lr: 0.010000 || Loss: 0.8187
Epoch: [51/100] Iter [  14/  26] || Time: 9893.7756 sec || lr: 0.010000 || Loss: 0.9077
Epoch: [51/100] Iter [  24/  26] || Time: 9940.8228 sec || lr: 0.010000 || Loss: 0.7389
Epoch: [52/100] Iter [   8/  26] || Time: 10050.3106 sec || lr: 0.010000 || Loss: 0.7586
Epoch: [52/100] Iter [  18/  26] || Time: 10098.9202 sec || lr: 0.010000 || Loss: 0.8302
Epoch: [53/100] Iter [   2/  26] || Time: 10203.0849 sec || lr: 0.010000 || Loss: 0.7666
Epoch: [53/100] Iter [  12/  26] || Time: 10264.5020 sec || lr: 0.010000 || Loss: 0.8427
Epoch: [53/100] Iter [  22/  26] || Time: 10312.2766 sec || lr: 0.010000 || Loss: 0.8737
Epoch: [54/100] Iter [   6/  26] || Time: 10425.4582 sec || lr: 0.010000 || Loss: 0.8293
Epoch: [54/100] Iter [  16/  26] || Time: 10477.1223 sec || lr: 0.010000 || Loss: 0.7865
Epoch: [54/100] Iter [  26/  26] || Time: 10534.2354 sec || lr: 0.010000 || Loss: 0.8847
Epoch: [55/100] Iter [  10/  26] || Time: 10629.6504 sec || lr: 0.010000 || Loss: 0.8593
Epoch: [55/100] Iter [  20/  26] || Time: 10676.9197 sec || lr: 0.010000 || Loss: 0.7841
Epoch: [56/100] Iter [   4/  26] || Time: 10785.9748 sec || lr: 0.010000 || Loss: 0.8514
